subject_ranking,subject_name,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
72,agricultural-sciences,"1,155",Northeast Agricultural University - China,China,Harbin,61.9,35.2,N/A,https://www.usnews.com/education/best-global-universities/northeast-agricultural-university-china-529520
73,agricultural-sciences,123,University of Auckland,New Zealand,Auckland,61.9,68.2,"33,093",https://www.usnews.com/education/best-global-universities/university-of-auckland-503786
74,agricultural-sciences,115,University of Padua,Italy,Padua,61.9,68.9,"48,524",https://www.usnews.com/education/best-global-universities/university-of-padua-502381
75,agricultural-sciences,333,University of Reading,United Kingdom,Reading,61.9,56.8,"16,195",https://www.usnews.com/education/best-global-universities/university-of-reading-504198
76,agricultural-sciences,194,Universite de Montpellier,France,Montpellier,61.4,63.3,"40,179",https://www.usnews.com/education/best-global-universities/universite-de-montpellier-528813
77,agricultural-sciences,39,Peking University,China,Beijing,61.3,76.8,"31,994",https://www.usnews.com/education/best-global-universities/peking-university-501148
78,agricultural-sciences,526,"University of Natural Resources & Life Sciences, Vienna",Austria,Vienna,61.3,50.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-natural-resources-life-sciences-vienna-501157
79,agricultural-sciences,65,King Abdulaziz University,Saudi Arabia,Jeddah,61.2,73.4,N/A,https://www.usnews.com/education/best-global-universities/king-abdulaziz-university-501597
80,agricultural-sciences,313,University of Granada,Spain,Granada,61,57.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-granada-505316
81,agricultural-sciences,324,University of Georgia,United States,"Athens (Georgia, U.S.)",60.7,57.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-georgia-139959
82,agricultural-sciences,86,University of Barcelona,Spain,Barcelona,60,71.8,"45,004",https://www.usnews.com/education/best-global-universities/university-of-barcelona-500261
83,agricultural-sciences,"1,126",Universidade Federal de Vicosa,Brazil,Vicosa,59.7,36,N/A,https://www.usnews.com/education/best-global-universities/universidade-federal-de-vicosa-503863
84,agricultural-sciences,99,University of Helsinki,Finland,Helsinki,59.7,70.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-helsinki-501989
85,agricultural-sciences,299,Oregon State University,United States,Corvallis,59.6,58.3,N/A,https://www.usnews.com/education/best-global-universities/oregon-state-university-209542
86,agricultural-sciences,598,Massey University,New Zealand,Palmerston North,59.3,48.3,"18,570",https://www.usnews.com/education/best-global-universities/massey-university-503390
87,agricultural-sciences,138,University of Bonn,Germany,Bonn,59.3,67,"27,210",https://www.usnews.com/education/best-global-universities/university-of-bonn-504578
88,agricultural-sciences,145,University of Nottingham,United Kingdom,Nottingham,59.1,66.7,N/A,https://www.usnews.com/education/best-global-universities/university-of-nottingham-503548
89,agricultural-sciences,662,Ocean University of China,China,Qingdao,58.8,46.6,N/A,https://www.usnews.com/education/best-global-universities/ocean-university-of-china-502491
90,agricultural-sciences,"1,129",Sichuan Agricultural University,China,Yaan,58.1,35.9,N/A,https://www.usnews.com/education/best-global-universities/sichuan-agricultural-university-529103
91,agricultural-sciences,247,Universidade do Porto,Portugal,Porto,58.1,60.7,"33,484",https://www.usnews.com/education/best-global-universities/universidade-do-porto-505685
92,agricultural-sciences,821,Shiraz University,Iran,Shiraz,58,42.5,N/A,https://www.usnews.com/education/best-global-universities/shiraz-university-500400
93,agricultural-sciences,441,University of Saskatchewan,Canada,Saskatoon,58,53.4,"17,741",https://www.usnews.com/education/best-global-universities/university-of-saskatchewan-499969
94,agricultural-sciences,129,Seoul National University (SNU),South Korea,Seoul,57.6,67.5,"26,209",https://www.usnews.com/education/best-global-universities/seoul-national-university-snu-503456
95,agricultural-sciences,366,Catholic University of the Sacred Heart,Italy,Milan,57,55.5,N/A,https://www.usnews.com/education/best-global-universities/catholic-university-of-the-sacred-heart-503167
96,agricultural-sciences,"1,443",Anhui Agricultural University,China,Hefei,56.9,29.1,N/A,https://www.usnews.com/education/best-global-universities/anhui-agricultural-university-529528
97,agricultural-sciences,"1,080",Universidade Federal de Santa Maria (UFSM),Brazil,Santa Maria,56.9,37.1,"27,242",https://www.usnews.com/education/best-global-universities/universidade-federal-de-santa-maria-ufsm-500881
98,agricultural-sciences,432,Universita degli Studi di Bari Aldo Moro,Italy,Bari,56.6,53.6,"42,689",https://www.usnews.com/education/best-global-universities/universita-degli-studi-di-bari-aldo-moro-505560
99,agricultural-sciences,57,University of Maryland College Park,United States,College Park,56,74.3,"33,775",https://www.usnews.com/education/best-global-universities/university-of-maryland-college-park-163286
100,agricultural-sciences,165,Technical University of Denmark,Denmark,Kongens Lyngby,55.6,65.5,"9,599",https://www.usnews.com/education/best-global-universities/technical-university-of-denmark-503016
101,agricultural-sciences,708,Tarbiat Modares University,Iran,Tehran,55.4,45.5,N/A,https://www.usnews.com/education/best-global-universities/tarbiat-modares-university-528825
102,agricultural-sciences,239,Tufts University,United States,Medford,55.4,61.1,"11,399",https://www.usnews.com/education/best-global-universities/tufts-university-168148
103,agricultural-sciences,"1,032",Lincoln University - New Zealand,New Zealand,Lincoln (New Zealand),55.3,38.1,N/A,https://www.usnews.com/education/best-global-universities/lincoln-university-new-zealand-529113
104,agricultural-sciences,10,Johns Hopkins University,United States,Baltimore,55.2,84.7,"17,584",https://www.usnews.com/education/best-global-universities/johns-hopkins-university-162928
105,agricultural-sciences,"1,218",Shandong Agricultural University,China,Tai'an,55.2,34,N/A,https://www.usnews.com/education/best-global-universities/shandong-agricultural-university-529093
106,agricultural-sciences,5,University of Oxford,United Kingdom,Oxford,55,86.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-oxford-503637
107,agricultural-sciences,23,Tsinghua University,China,Beijing,54.9,81.3,N/A,https://www.usnews.com/education/best-global-universities/tsinghua-university-503146
108,agricultural-sciences,74,University of Adelaide,Australia,Adelaide,54.9,72.8,"23,102",https://www.usnews.com/education/best-global-universities/university-of-adelaide-504015
109,agricultural-sciences,247,University of Otago,New Zealand,Dunedin,54.9,60.7,"18,508",https://www.usnews.com/education/best-global-universities/university-of-otago-506723
110,agricultural-sciences,250,University of Florence,Italy,Florence,54.8,60.6,N/A,https://www.usnews.com/education/best-global-universities/university-of-florence-501033
111,agricultural-sciences,"1,314",Warsaw University of Life Sciences,Poland,Warsaw,54.8,31.9,N/A,https://www.usnews.com/education/best-global-universities/warsaw-university-of-life-sciences-529101
112,agricultural-sciences,290,Korea University,South Korea,Seoul,54.6,58.9,N/A,https://www.usnews.com/education/best-global-universities/korea-university-505391
113,agricultural-sciences,"1,190",Prince of Songkla University,Thailand,Songkhla,54.5,34.5,"32,779",https://www.usnews.com/education/best-global-universities/prince-of-songkla-university-529017
114,agricultural-sciences,"1,317",Universidade Federal de Lavras,Brazil,Lavras,54.4,31.8,"14,637",https://www.usnews.com/education/best-global-universities/universidade-federal-de-lavras-529105
115,agricultural-sciences,564,Universidad Politecnica de Madrid,Spain,Madrid,54.4,49.2,N/A,https://www.usnews.com/education/best-global-universities/universidad-politecnica-de-madrid-500155
116,agricultural-sciences,605,AgroParisTech,France,Paris,54.2,48.2,N/A,https://www.usnews.com/education/best-global-universities/agroparistech-529092
117,agricultural-sciences,394,Islamic Azad University,Iran,Tehran,54.1,54.6,N/A,https://www.usnews.com/education/best-global-universities/islamic-azad-university-528829
118,agricultural-sciences,129,Sun Yat Sen University,China,Guangzhou,54,67.5,"58,208",https://www.usnews.com/education/best-global-universities/sun-yat-sen-university-506062
119,agricultural-sciences,112,Lund University,Sweden,Lund,53.9,69,N/A,https://www.usnews.com/education/best-global-universities/lund-university-500083
120,agricultural-sciences,18,University of Toronto,Canada,Toronto,53.7,83.8,"77,468",https://www.usnews.com/education/best-global-universities/university-of-toronto-499968
121,agricultural-sciences,432,Universidade Federal do Rio Grande do Sul,Brazil,Porto Alegre,53.6,53.6,N/A,https://www.usnews.com/education/best-global-universities/universidade-federal-do-rio-grande-do-sul-500468
122,agricultural-sciences,501,University of Parma,Italy,Parma,53.6,51.2,N/A,https://www.usnews.com/education/best-global-universities/university-of-parma-501495
123,agricultural-sciences,277,University of Aberdeen,United Kingdom,Aberdeen,53.5,59.3,"13,010",https://www.usnews.com/education/best-global-universities/university-of-aberdeen-501749
124,agricultural-sciences,304,Stellenbosch University,South Africa,Stellenbosch,53.3,58.1,"24,907",https://www.usnews.com/education/best-global-universities/stellenbosch-university-500980
125,agricultural-sciences,826,Tuscia University,Italy,Viterbo,53.3,42.4,"6,272",https://www.usnews.com/education/best-global-universities/tuscia-university-529091
126,agricultural-sciences,517,University of Zagreb,Croatia,Zagreb,53.3,50.6,"65,436",https://www.usnews.com/education/best-global-universities/university-of-zagreb-502783
127,agricultural-sciences,"1,060",Hunan Agricultural University,China,Changsha,53.2,37.4,N/A,https://www.usnews.com/education/best-global-universities/hunan-agricultural-university-529354
128,agricultural-sciences,202,Universidade de Lisboa,Portugal,Lisbon,53.2,62.9,"48,404",https://www.usnews.com/education/best-global-universities/universidade-de-lisboa-501120
129,agricultural-sciences,44,Utrecht University,Netherlands,Utrecht,53.2,75.7,"32,532",https://www.usnews.com/education/best-global-universities/utrecht-university-505962
130,agricultural-sciences,"1,072",Yangzhou University,China,Yangzhou,52.6,37.2,"31,066",https://www.usnews.com/education/best-global-universities/yangzhou-university-529253
131,agricultural-sciences,4,University of California Berkeley,United States,Berkeley,52.3,88.7,"40,921",https://www.usnews.com/education/best-global-universities/university-of-california-berkeley-110635
132,agricultural-sciences,37,University of New South Wales Sydney,Australia,Kensington,52.1,77,"45,133",https://www.usnews.com/education/best-global-universities/university-of-new-south-wales-sydney-502434
133,agricultural-sciences,507,Universidade do Minho,Portugal,Braga,51.9,51,"19,922",https://www.usnews.com/education/best-global-universities/universidade-do-minho-506228
134,agricultural-sciences,231,University of Newcastle,Australia,Callaghan,51.9,61.4,N/A,https://www.usnews.com/education/best-global-universities/university-of-newcastle-500363
135,agricultural-sciences,618,Universidade Federal de Santa Catarina (UFSC),Brazil,Florianopolis,51.8,47.9,N/A,https://www.usnews.com/education/best-global-universities/universidade-federal-de-santa-catarina-ufsc-500204
136,agricultural-sciences,"1,106",Universitat de Lleida,Spain,Lleida,51.4,36.4,N/A,https://www.usnews.com/education/best-global-universities/universitat-de-lleida-504927
137,agricultural-sciences,520,University of Sevilla,Spain,Seville,51.4,50.5,"49,155",https://www.usnews.com/education/best-global-universities/university-of-sevilla-502822
138,agricultural-sciences,269,Beijing Normal University,China,Beijing,51.2,59.7,N/A,https://www.usnews.com/education/best-global-universities/beijing-normal-university-506588
139,agricultural-sciences,736,Norwegian University of Life Sciences,Norway,As,51.2,44.7,N/A,https://www.usnews.com/education/best-global-universities/norwegian-university-of-life-sciences-528819
140,agricultural-sciences,304,Sichuan University,China,Chengdu,51.2,58.1,"49,543",https://www.usnews.com/education/best-global-universities/sichuan-university-506145
141,agricultural-sciences,389,Louisiana State University,United States,Baton Rouge,50.9,54.8,"29,191",https://www.usnews.com/education/best-global-universities/louisiana-state-university-159391
142,agricultural-sciences,"1,671",Shenyang Agricultural University,China,Shenyang,50.9,23.9,N/A,https://www.usnews.com/education/best-global-universities/shenyang-agricultural-university-529736
143,agricultural-sciences,"1,158",Agricultural University of Athens,Greece,Athens (Greece),50.7,35.1,N/A,https://www.usnews.com/education/best-global-universities/agricultural-university-of-athens-501891
144,agricultural-sciences,,Instituto Politecnico de Braganca,Portugal,Braganca,50.7,N/A,N/A,https://www.usnews.com/education/best-global-universities/instituto-politecnico-de-braganca-529114
145,agricultural-sciences,208,University of Vienna,Austria,Vienna,50.6,62.6,N/A,https://www.usnews.com/education/best-global-universities/university-of-vienna-505908
146,agricultural-sciences,37,Monash University,Australia,Clayton,50.3,77,"58,725",https://www.usnews.com/education/best-global-universities/monash-university-500301
147,agricultural-sciences,"1,506",Tianjin University Science & Technology,China,Tianjin,50,27.7,N/A,https://www.usnews.com/education/best-global-universities/tianjin-university-science-technology-529285
148,agricultural-sciences,"1,243",Kasetsart University,Thailand,Bangkok,49.8,33.5,"68,757",https://www.usnews.com/education/best-global-universities/kasetsart-university-529012
149,agricultural-sciences,385,University of Perugia,Italy,Perugia,49.7,54.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-perugia-504697
150,agricultural-sciences,48,Sorbonne Universite,France,Paris,49.6,75.2,"44,649",https://www.usnews.com/education/best-global-universities/sorbonne-universite-529569
151,agricultural-sciences,389,University of Navarra,Spain,Pamplona,49.6,54.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-navarra-500141
152,agricultural-sciences,209,Royal Melbourne Institute of Technology (RMIT),Australia,Melbourne (Australia),49.5,62.5,"32,692",https://www.usnews.com/education/best-global-universities/royal-melbourne-institute-of-technology-rmit-503858
153,agricultural-sciences,34,University of Edinburgh,United Kingdom,Edinburgh,49.4,77.8,"32,800",https://www.usnews.com/education/best-global-universities/university-of-edinburgh-505832
154,agricultural-sciences,372,University of Manitoba,Canada,Winnipeg,49.4,55.2,"29,561",https://www.usnews.com/education/best-global-universities/university-of-manitoba-503954
155,agricultural-sciences,812,Hefei University of Technology,China,Hefei,49.3,42.9,N/A,https://www.usnews.com/education/best-global-universities/hefei-university-of-technology-528958
156,agricultural-sciences,363,Aristotle University of Thessaloniki,Greece,Thessaloniki,49,55.6,"49,840",https://www.usnews.com/education/best-global-universities/aristotle-university-of-thessaloniki-506056
157,agricultural-sciences,432,Hokkaido University,Japan,Sapporo,49,53.6,N/A,https://www.usnews.com/education/best-global-universities/hokkaido-university-501928
158,agricultural-sciences,413,Universidade Federal do Rio de Janeiro,Brazil,Rio de Janeiro,48.9,54.1,"45,964",https://www.usnews.com/education/best-global-universities/universidade-federal-do-rio-de-janeiro-504608
159,agricultural-sciences,452,University of Missouri Columbia,United States,Columbia,48.8,53.1,"25,113",https://www.usnews.com/education/best-global-universities/university-of-missouri-columbia-178396
160,agricultural-sciences,912,Universidad de Cordoba,Spain,Cordoba (Spain),48.7,40.7,N/A,https://www.usnews.com/education/best-global-universities/universidad-de-cordoba-505807
161,agricultural-sciences,"1,678",Universidade Estadual de Ponta Grossa,Brazil,Ponta Grossa,48.7,23.6,N/A,https://www.usnews.com/education/best-global-universities/universidade-estadual-de-ponta-grossa-529733
162,agricultural-sciences,750,University of Arkansas Fayetteville,United States,Fayetteville,48.7,44.4,"25,207",https://www.usnews.com/education/best-global-universities/university-of-arkansas-fayetteville-106397
163,agricultural-sciences,662,Marche Polytechnic University,Italy,Ancona,48.6,46.6,N/A,https://www.usnews.com/education/best-global-universities/marche-polytechnic-university-503536
164,agricultural-sciences,337,Complutense University of Madrid,Spain,Madrid,48.5,56.7,"61,128",https://www.usnews.com/education/best-global-universities/complutense-university-of-madrid-506527
165,agricultural-sciences,140,Kyoto University,Japan,Kyoto,48.5,66.9,N/A,https://www.usnews.com/education/best-global-universities/kyoto-university-505388
166,agricultural-sciences,"1,017",Universite de Sfax,Tunisia,Sfax,48.3,38.4,N/A,https://www.usnews.com/education/best-global-universities/universite-de-sfax-529029
167,agricultural-sciences,"1,017",Universidade Federal Fluminense,Brazil,Niteroi,48.2,38.4,"49,554",https://www.usnews.com/education/best-global-universities/universidade-federal-fluminense-506244
168,agricultural-sciences,81,University of Tokyo,Japan,Tokyo,48.2,72.4,"26,112",https://www.usnews.com/education/best-global-universities/university-of-tokyo-500248
169,agricultural-sciences,"1,735",Dalian Polytechnic University,China,Dalian,48.1,22,N/A,https://www.usnews.com/education/best-global-universities/dalian-polytechnic-university-529903
170,agricultural-sciences,"1,261",Kangwon National University,South Korea,Chuncheon-si,48.1,33,N/A,https://www.usnews.com/education/best-global-universities/kangwon-national-university-500476
171,agricultural-sciences,203,National Taiwan University,Taiwan,Taipei,48.1,62.8,"25,215",https://www.usnews.com/education/best-global-universities/national-taiwan-university-504077
172,agricultural-sciences,625,University of Tabriz,Iran,Tabriz,48.1,47.7,"20,983",https://www.usnews.com/education/best-global-universities/university-of-tabriz-528957
173,agricultural-sciences,265,Virginia Polytechnic Institute & State University,United States,Blacksburg,48.1,59.9,"36,512",https://www.usnews.com/education/best-global-universities/virginia-polytechnic-institute-state-university-233921
174,agricultural-sciences,667,Southwest University - China,China,Chongqing,48,46.5,N/A,https://www.usnews.com/education/best-global-universities/southwest-university-china-506024
175,agricultural-sciences,540,Jinan University,China,Guangzhou,47.9,50,N/A,https://www.usnews.com/education/best-global-universities/jinan-university-505051
176,agricultural-sciences,866,Universidade de Vigo,Spain,Vigo,47.8,41.7,"18,146",https://www.usnews.com/education/best-global-universities/universidade-de-vigo-505924
177,agricultural-sciences,217,Deakin University,Australia,Burwood,47.4,62.1,"43,080",https://www.usnews.com/education/best-global-universities/deakin-university-504884
178,agricultural-sciences,87,Free University of Berlin,Germany,Berlin,47.4,71.7,"36,792",https://www.usnews.com/education/best-global-universities/free-university-of-berlin-502084
179,agricultural-sciences,356,University of Kentucky,United States,Lexington,47.3,55.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-kentucky-157085
